port,,Permanent Portfolio,Permanent Portfolio,Permanent Portfolio,Permanent Portfolio,Three Fund Portfolio,Three Fund Portfolio,Three Fund Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,Golden Butterfly,Golden Butterfly,Golden Butterfly,Golden Butterfly,Golden Butterfly,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,60/40 Portfolio,60/40 Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio
etfs,,VTI,TLT,BIL,GLD,VTI,VEA,AGG,VTI,IJS,VEA,VWO,IEI,BIL,IYR,GLD,VTI,TLT,IEI,DBC,GLD,VTI,IJS,TLT,SHY,GLD,SPY,SPYV,MDY,IJJ,VEA,IEI,IYR,VTI,VEA,VWO,IEI,TIP,IYR,SPY,MDY,IJR,VEA,VWO,IEI,BIL,TIP,DBC,IYR,BWX,VTI,AGG,VTI,VEA,IEI,DBC,IYR
date,risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,cons,0.005775,0.00043,0.993795,0.0,0.00264,0.0,0.99736,0.003939,0.0,0.0,0.000539,0.0,0.995521,0.0,0.0,0.087485,0.0,0.877869,0.034646,0.0,0.040614,0.001285,0.0,0.9581,0.0,0.0,0.0,0.093342,0.0,0.0,0.906658,0.0,0.073911,0.0,0.022603,0.903486,0.0,0.0,0.00181,0.0,0.0,0.0,0.003828,0.004184,0.990178,0.0,0.0,0.0,0.0,0.025126,0.974874,0.074967,0.0,0.878006,0.0463,0.000726
2010-01-31,mod_cons,0.092542,0.138783,0.714168,0.054507,0.262821,0.0,0.737179,0.0,0.0,0.0,0.0,0.83253,0.0,0.136717,0.030752,0.068332,0.175116,0.569603,0.18695,0.0,0.12699,0.0,0.131947,0.668561,0.072501,0.0,0.0,0.0,0.0,0.0,0.722422,0.277578,0.0,0.0,0.0,0.742489,0.0,0.257511,0.0,0.0,0.0,0.0,0.0,0.804644,0.0,0.0,0.083396,0.11196,0.0,0.271357,0.728643,0.0,0.0,0.6592,0.10226,0.23854
2010-01-31,moder,0.175579,0.270299,0.440857,0.113265,0.508547,0.0,0.491453,0.0,0.0,0.0,0.0,0.422934,0.0,0.387878,0.189188,0.052992,0.41121,0.235056,0.300742,0.0,0.198166,0.0,0.286087,0.378632,0.137115,0.0,0.0,0.0,0.0,0.0,0.481615,0.518385,0.0,0.0,0.0,0.494993,0.0,0.505007,0.0,0.0,0.0,0.0,0.0,0.479454,0.0,0.0,0.144147,0.376399,0.0,0.512563,0.487437,0.0,0.0,0.391274,0.146123,0.462603
2010-01-31,mod_agg,0.260232,0.404474,0.161986,0.173309,0.754274,0.0,0.245726,0.0,0.0,0.0,0.0,0.013334,0.0,0.639036,0.347629,0.0,0.485235,0.0,0.514765,0.0,0.26948,0.0,0.440185,0.088662,0.201674,0.0,0.0,0.0,0.0,0.0,0.240807,0.759193,0.0,0.0,0.0,0.247496,0.0,0.752504,0.0,0.0,0.0,0.0,0.0,0.154274,0.0,0.0,0.204882,0.640845,0.0,0.758794,0.241206,0.0,0.0,0.12343,0.189853,0.686716
2010-01-31,agg,0.285291,0.482058,0.0,0.232652,0.913273,0.0,0.086727,0.0,0.0,0.0,0.0,0.0,0.0,0.852282,0.147718,0.0,0.189874,0.0,0.810126,0.0,0.077481,0.0,0.514997,0.0,0.407522,0.0,0.0,0.0,0.0,0.0,0.093647,0.906353,0.0,0.0,0.0,0.093647,0.0,0.906353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18393,0.81607,0.0,0.904523,0.095477,0.0,0.0,0.0,0.151472,0.848528
2010-02-28,cons,0.007112,0.000918,0.99197,0.0,0.005086,0.0,0.994914,0.001668,0.0,0.000484,0.001403,0.0,0.996445,0.0,0.0,0.090142,0.0,0.876162,0.033696,0.0,0.044257,0.0,0.0,0.955743,0.0,0.0,0.0,0.103608,0.0,0.0,0.896392,0.0,0.08179,0.0,0.018828,0.899382,0.0,0.0,0.000146,0.0,0.0,0.0,0.003924,0.0,0.99593,0.0,0.0,0.0,0.0,0.030151,0.969849,0.081693,0.0,0.879355,0.038952,0.0
2010-02-28,mod_cons,0.131326,0.001396,0.701606,0.165672,0.25823,0.0,0.74177,0.0,0.0,0.0,0.19208,0.807243,0.0,0.0,0.000677,0.206635,0.0,0.627205,0.0,0.16616,0.173503,0.0,0.0,0.665127,0.16137,0.0,0.0,0.327706,0.0,0.0,0.672294,0.0,0.0,0.0,0.279686,0.720314,0.0,0.0,0.0,0.148662,0.0,0.0,0.081185,0.770153,0.0,0.0,0.0,0.0,0.0,0.276382,0.723618,0.14736,0.0,0.641099,0.0,0.211541
2010-02-28,moder,0.250675,0.000397,0.419053,0.329875,0.505487,0.0,0.494513,0.0,0.0,0.0,0.407239,0.459243,0.0,0.0,0.133518,0.288738,0.0,0.361299,0.0,0.349963,0.293912,0.0,0.0,0.384036,0.322052,0.0,0.0,0.551804,0.0,0.0,0.448196,0.0,0.0,0.0,0.51979,0.48021,0.0,0.0,0.0,0.263606,0.0,0.0,0.262604,0.47379,0.0,0.0,0.0,0.0,0.0,0.517588,0.482412,0.127973,0.0,0.410402,0.0,0.461625
