security,date,value
VTI,2001-05-31,40.5568
VTI,2001-06-01,40.8394
VTI,2001-06-04,41.0160
VTI,2001-06-05,41.6166
VTI,2001-06-06,41.2633
VTI,2001-06-07,41.4753
VTI,2001-06-08,41.1220
VTI,2001-06-11,40.6981
VTI,2001-06-12,40.7334
VTI,2001-06-13,40.3448
VTI,2001-06-14,39.4262
VTI,2001-06-15,39.3203
VTI,2001-06-18,39.0730
VTI,2001-06-19,39.1790
VTI,2001-06-20,39.6029
VTI,2001-06-21,39.9208
VTI,2001-06-22,39.6735
VTI,2001-06-25,39.4192
VTI,2001-06-26,39.3129
VTI,2001-06-27,39.3129
VTI,2001-06-28,39.8088
VTI,2001-06-29,40.0213
VTI,2001-07-02,40.1275
VTI,2001-07-03,40.0921
VTI,2001-07-05,39.6671
VTI,2001-07-06,38.6046
VTI,2001-07-09,38.8525
VTI,2001-07-10,38.3567
VTI,2001-07-11,38.3921
VTI,2001-07-12,39.3129
VTI,2001-07-13,39.4900
VTI,2001-07-16,39.0296
VTI,2001-07-17,39.4900
VTI,2001-07-18,39.0650
VTI,2001-07-19,39.3129
VTI,2001-07-20,39.3129
VTI,2001-07-23,38.6400
VTI,2001-07-24,38.0733
VTI,2001-07-25,38.5692
VTI,2001-07-26,39.0650
VTI,2001-07-27,39.1358
VTI,2001-07-30,39.1004
VTI,2001-07-31,39.2421
VTI,2001-08-01,39.4192
VTI,2001-08-02,39.5609
VTI,2001-08-03,39.4192
VTI,2001-08-06,38.9588
VTI,2001-08-07,39.0296
VTI,2001-08-08,38.3213
VTI,2001-08-09,38.4275
VTI,2001-08-10,38.6046
VTI,2001-08-13,38.6754
VTI,2001-08-14,38.5692
VTI,2001-08-15,38.2504
VTI,2001-08-16,38.3567
VTI,2001-08-17,37.7900
VTI,2001-08-20,38.0379
VTI,2001-08-21,37.5067
VTI,2001-08-22,37.8608
VTI,2001-08-23,37.7900
VTI,2001-08-24,38.4983
VTI,2001-08-27,38.3567
VTI,2001-08-28,37.7192
VTI,2001-08-29,37.3650
VTI,2001-08-30,36.7983
VTI,2001-08-31,36.9754
VTI,2001-09-04,36.7629
VTI,2001-09-05,36.7275
VTI,2001-09-06,35.9837
VTI,2001-09-07,35.2400
VTI,2001-09-10,35.5233
VTI,2001-09-17,33.8197
VTI,2001-09-18,33.3877
VTI,2001-09-19,32.9379
VTI,2001-09-20,31.8753
VTI,2001-09-21,31.3618
VTI,2001-09-24,32.4792
VTI,2001-09-25,32.7884
VTI,2001-09-26,32.5325
VTI,2001-09-27,32.8559
VTI,2001-09-28,33.7444
VTI,2001-10-01,33.4388
VTI,2001-10-02,33.8510
VTI,2001-10-03,34.4481
VTI,2001-10-04,34.5618
VTI,2001-10-05,34.5796
VTI,2001-10-08,34.3486
VTI,2001-10-09,34.1211
VTI,2001-10-10,34.9314
VTI,2001-10-11,35.5747
VTI,2001-10-12,35.3010
VTI,2001-10-15,35.3508
VTI,2001-10-16,35.5391
VTI,2001-10-17,34.8283
VTI,2001-10-18,34.6471
VTI,2001-10-19,34.7431
VTI,2001-10-22,35.2619
VTI,2001-10-23,35.1304
VTI,2001-10-24,35.1127
VTI,2001-10-25,35.6102
VTI,2001-10-26,35.7879
VTI,2001-10-29,34.9705
VTI,2001-10-30,34.3948
VTI,2001-10-31,34.4374
VTI,2001-11-01,35.1624
VTI,2001-11-02,35.2193
VTI,2001-11-05,35.7168
VTI,2001-11-06,36.2499
VTI,2001-11-07,36.1788
VTI,2001-11-08,36.2144
VTI,2001-11-09,36.2855
VTI,2001-11-12,36.2144
VTI,2001-11-13,36.8541
VTI,2001-11-14,37.0673
VTI,2001-11-15,36.9607
VTI,2001-11-16,36.9607
VTI,2001-11-19,37.3161
VTI,2001-11-20,37.0673
VTI,2001-11-21,36.8185
VTI,2001-11-23,37.2805
VTI,2001-11-26,37.5293
VTI,2001-11-27,37.4227
VTI,2001-11-28,36.6053
VTI,2001-11-29,37.1739
VTI,2001-11-30,37.0673
VTI,2001-12-03,36.8185
VTI,2001-12-04,37.2805
VTI,2001-12-05,38.2046
VTI,2001-12-06,38.1335
VTI,2001-12-07,38.0624
VTI,2001-12-10,37.3516
VTI,2001-12-11,37.2450
VTI,2001-12-12,37.2095
VTI,2001-12-13,36.6764
VTI,2001-12-14,36.8185
VTI,2001-12-17,37.1029
VTI,2001-12-18,37.4938
VTI,2001-12-19,37.6715
VTI,2001-12-20,37.3161
VTI,2001-12-21,37.5293
VTI,2001-12-24,37.5979
VTI,2001-12-26,37.7763
VTI,2001-12-27,37.9903
VTI,2001-12-28,38.1330
VTI,2001-12-31,37.5979
VTI,2002-01-02,37.9190
VTI,2002-01-03,38.3113
VTI,2002-01-04,38.5610
VTI,2002-01-07,38.3113
VTI,2002-01-08,38.2043
